date,country_name,new_cases,new_cases_7d_avg
2020-03-01,Germany,0,0.0
2020-03-02,Germany,84,42.0
2020-03-03,Germany,157,80.33333333333333
2020-03-04,Germany,186,106.75
2020-03-05,Germany,187,122.8
2020-03-06,Germany,142,126.0
2020-03-07,Germany,105,123.0
2020-03-08,Germany,347,172.57142857142858
2020-03-09,Germany,595,245.57142857142858
2020-03-10,Germany,757,331.2857142857143
2020-03-11,Germany,991,446.2857142857143
2020-03-12,Germany,1464,628.7142857142857
2020-03-13,Germany,1302,794.4285714285714
2020-03-14,Germany,980,919.4285714285714
2020-03-15,Germany,2037,1160.857142857143
2020-03-16,Germany,3033,1509.142857142857
2020-03-17,Germany,3598,1915.0
2020-03-18,Germany,4057,2353.0
2020-03-19,Germany,4056,2723.285714285714
2020-03-20,Germany,3357,3016.8571428571427
2020-03-21,Germany,2265,3200.4285714285716
2020-03-22,Germany,3732,3442.5714285714284
2020-03-23,Germany,4878,3706.1428571428573
2020-03-24,Germany,5680,4003.5714285714284
2020-03-25,Germany,5901,4267.0
2020-03-26,Germany,5981,4542.0
2020-03-27,Germany,4720,4736.714285714285
2020-03-28,Germany,3077,4852.714285714285
2020-03-29,Germany,4120,4908.142857142857
2020-03-30,Germany,6061,5077.142857142857
2020-03-31,Germany,6257,5159.571428571428
2020-04-01,Germany,6549,5252.142857142857
2020-04-02,Germany,6191,5282.142857142857
2020-04-03,Germany,4338,5227.571428571428
2020-04-04,Germany,2536,5150.285714285715
2020-04-05,Germany,3660,5084.571428571428
2020-04-06,Germany,5185,4959.428571428572
2020-04-07,Germany,5277,4819.428571428572
2020-04-08,Germany,4909,4585.142857142857
2020-04-09,Germany,3355,4180.0
2020-04-10,Germany,2884,3972.285714285714
2020-04-11,Germany,1868,3876.8571428571427
2020-04-12,Germany,1598,3582.285714285714
2020-04-13,Germany,2466,3193.8571428571427
2020-04-14,Germany,3325,2915.0
2020-04-15,Germany,3420,2702.285714285714
2020-04-16,Germany,3046,2658.1428571428573
2020-04-17,Germany,2107,2547.1428571428573
2020-04-18,Germany,1377,2477.0
2020-04-19,Germany,1711,2493.1428571428573
2020-04-20,Germany,2185,2453.0
2020-04-21,Germany,2487,2333.285714285714
2020-04-22,Germany,2093,2143.714285714286
2020-04-23,Germany,1904,1980.5714285714287
2020-04-24,Germany,1271,1861.142857142857
2020-04-25,Germany,704,1765.0
2020-04-26,Germany,1119,1680.4285714285713
2020-04-27,Germany,1465,1577.5714285714287
2020-04-28,Germany,1430,1426.5714285714287
2020-04-29,Germany,1461,1336.2857142857142
2020-04-30,Germany,918,1195.4285714285713
2020-05-01,Germany,620,1102.4285714285713
2020-05-02,Germany,425,1062.5714285714287
2020-05-03,Germany,729,1006.8571428571429
2020-05-04,Germany,1092,953.5714285714286
2020-05-05,Germany,1221,923.7142857142857
2020-05-06,Germany,1202,886.7142857142857
2020-05-07,Germany,978,895.2857142857143
2020-05-08,Germany,677,903.4285714285714
2020-05-09,Germany,341,891.4285714285714
2020-05-10,Germany,687,885.4285714285714
2020-05-11,Germany,855,851.5714285714286
2020-05-12,Germany,913,807.5714285714286
2020-05-13,Germany,808,751.2857142857143
2020-05-14,Germany,728,715.5714285714286
2020-05-15,Germany,462,684.8571428571429
