date,country_name,new_per_100k,new_per_100k_7d_avg
2020-03-01,Germany,0.0,0.0
2020-03-02,Germany,0.101,0.051
2020-03-03,Germany,0.189,0.097
2020-03-04,Germany,0.224,0.129
2020-03-05,Germany,0.225,0.148
2020-03-06,Germany,0.171,0.152
2020-03-07,Germany,0.126,0.148
2020-03-08,Germany,0.418,0.208
2020-03-09,Germany,0.717,0.296
2020-03-10,Germany,0.912,0.399
2020-03-11,Germany,1.194,0.538
2020-03-12,Germany,1.763,0.757
2020-03-13,Germany,1.568,0.957
2020-03-14,Germany,1.18,1.107
2020-03-15,Germany,2.454,1.398
2020-03-16,Germany,3.653,1.818
2020-03-17,Germany,4.334,2.307
2020-03-18,Germany,4.887,2.834
2020-03-19,Germany,4.886,3.28
2020-03-20,Germany,4.044,3.634
2020-03-21,Germany,2.728,3.855
2020-03-22,Germany,4.495,4.147
2020-03-23,Germany,5.876,4.464
2020-03-24,Germany,6.842,4.822
2020-03-25,Germany,7.108,5.14
2020-03-26,Germany,7.204,5.471
2020-03-27,Germany,5.685,5.706
2020-03-28,Germany,3.706,5.845
2020-03-29,Germany,4.963,5.912
2020-03-30,Germany,7.301,6.116
2020-03-31,Germany,7.537,6.215
2020-04-01,Germany,7.889,6.326
2020-04-02,Germany,7.457,6.363
2020-04-03,Germany,5.225,6.297
2020-04-04,Germany,3.055,6.204
2020-04-05,Germany,4.409,6.125
2020-04-06,Germany,6.246,5.974
2020-04-07,Germany,6.356,5.805
2020-04-08,Germany,5.913,5.523
2020-04-09,Germany,4.041,5.035
2020-04-10,Germany,3.474,4.785
2020-04-11,Germany,2.25,4.67
2020-04-12,Germany,1.925,4.315
2020-04-13,Germany,2.97,3.847
2020-04-14,Germany,4.005,3.511
2020-04-15,Germany,4.12,3.255
2020-04-16,Germany,3.669,3.202
2020-04-17,Germany,2.538,3.068
2020-04-18,Germany,1.659,2.984
2020-04-19,Germany,2.061,3.003
2020-04-20,Germany,2.632,2.955
2020-04-21,Germany,2.996,2.811
2020-04-22,Germany,2.521,2.582
2020-04-23,Germany,2.293,2.386
2020-04-24,Germany,1.531,2.242
2020-04-25,Germany,0.848,2.126
2020-04-26,Germany,1.348,2.024
2020-04-27,Germany,1.765,1.9
