country_name,peak_date,peak_new_7d
France,2022-05-24,3568975.43
Ukraine,2022-02-19,2418092.14
United States of America,2022-01-15,785007.14
Canada,2022-05-10,543804.71
South Korea,2022-03-16,404999.57
India,2021-05-07,391279.57
Vietnam,2022-03-17,274025.29
Germany,2022-03-22,233127.0
Japan,2022-08-23,218962.43
United Kingdom,2022-01-04,214686.29
Russia,2022-02-14,190418.57
Brazil,2022-02-03,189526.0
Italy,2022-01-14,181821.71
China,2022-05-27,168049.57
Spain,2022-01-13,142050.43
Argentina,2022-01-12,132123.14
Netherlands,2022-02-11,125285.29
Australia,2022-01-14,107278.57
Turkey,2022-02-08,103375.43
Taiwan,2022-05-24,82603.29
Israel,2022-01-24,75617.0
Mexico,2022-01-18,62117.71
Portugal,2022-01-28,58743.86
Indonesia,2022-02-20,55675.29
Belgium,2022-01-25,52398.71
Poland,2022-01-31,49073.14
Peru,2022-01-23,48948.57
Denmark,2022-02-12,46336.71
Austria,2022-03-17,45802.0
Sweden,2022-01-27,40661.29
Iran,2021-08-16,39795.29
Greece,2022-01-04,38230.14
Czech Republic,2022-02-01,37977.14
Switzerland,2022-01-27,35879.86
Chile,2022-02-13,35656.29
Philippines,2022-01-18,34897.0
Colombia,2022-01-12,31248.0
Malaysia,2022-03-09,30729.86
Romania,2022-02-04,30033.43
Thailand,2022-04-04,26109.57
South Africa,2021-12-16,23503.43
Ireland,2022-01-11,22479.57
Georgia,2022-02-04,21690.0
New Zealand,2022-03-08,20747.86
Norway,2022-02-11,20508.43
Jordan,2022-02-13,19820.0
Singapore,2022-02-24,18325.14
Slovakia,2022-02-10,17917.0
Serbia,2022-01-30,16836.0
Hungary,2022-01-29,16002.86
Finland,2022-01-16,15901.0
Slovenia,2022-02-02,15176.57
Bangladesh,2021-08-01,14477.29
Kazakhstan,2022-01-21,13894.0
Lithuania,2022-02-03,12701.14
Iraq,2021-08-01,11985.57
Bolivia,2022-01-20,11969.71
Uruguay,2022-01-22,11399.86
Réunion,2022-01-23,11187.86
Panama,2022-01-20,10697.86
Puerto Rico,2022-01-07,10633.43
Latvia,2022-02-12,9859.29
Morocco,2021-08-09,9774.29
Tunisia,2022-01-21,9430.71
Cuba,2021-08-23,9416.71
Ecuador,2022-01-20,9197.29
Nepal,2021-05-10,8962.71
Bulgaria,2022-01-26,8941.29
Croatia,2022-01-25,8909.57
Palestine,2022-02-03,8668.86
Mongolia,2022-01-25,8431.86
Lebanon,2022-02-04,8257.57
Belarus,2022-02-13,7901.57
Bahrain,2022-02-06,7649.71
Pakistan,2022-01-29,7201.57
Azerbaijan,2022-02-09,7050.14
Estonia,2022-02-05,6949.86
Dominican Republic,2022-01-13,6378.0
Kuwait,2022-02-01,6274.14
Botswana,2022-02-22,6052.71
Sri Lanka,2021-08-28,5960.86
Paraguay,2022-01-31,5896.29
Myanmar,2021-07-20,5831.29
Costa Rica,2022-02-03,5795.86
Saudi Arabia,2022-01-19,5611.86
Guatemala,2022-07-15,5462.71
Cyprus,2022-03-29,4908.29
Moldova,2022-01-30,4687.86
Zimbabwe,2021-12-13,4579.71
